task_id,start_time,end_time,duration_seconds,state
ingest_raw_data_local,2026-04-23 15:06:19.420314+00:00,2026-04-23 15:06:19.933543+00:00,0.51,success
start_pipeline,2026-04-23 15:06:16.990123+00:00,2026-04-23 15:06:16.990135+00:00,0.0,success
engineer_features,2026-04-23 15:06:24.364953+00:00,2026-04-23 15:06:25.259330+00:00,0.89,success
clean_and_preprocess_data,2026-04-23 15:06:21.584378+00:00,2026-04-23 15:06:22.109984+00:00,0.53,success
load_to_postgres_star_schema,2026-04-23 15:06:27.495034+00:00,2026-04-23 15:06:30.026043+00:00,2.53,success
train_logistic_regression_model,2026-04-23 15:06:31.497826+00:00,2026-04-23 15:06:52.589401+00:00,21.09,success
train_random_forest_model,2026-04-23 15:06:31.680922+00:00,2026-04-23 15:06:41.819794+00:00,10.14,success
train_xgboost_model,2026-04-23 15:06:31.668614+00:00,2026-04-23 15:12:11.395306+00:00,339.73,success
evaluate_models_and_select_champion,2026-04-23 15:12:14.220501+00:00,2026-04-23 15:12:15.191201+00:00,0.97,success
generate_shap_values,2026-04-23 15:12:16.918043+00:00,2026-04-23 15:12:17.918459+00:00,1.0,success
build_actionable_recommendations,2026-04-23 15:12:20.453163+00:00,2026-04-23 15:12:21.531918+00:00,1.08,success
update_postgres_with_predictions_and_recs,2026-04-23 15:12:23.104895+00:00,2026-04-23 15:12:25.509553+00:00,2.4,success
train_lightgbm_model,2026-04-23 15:06:31.641170+00:00,2026-04-23 15:12:11.670931+00:00,340.03,success
